id;census_date;status;accounting_date;leveling;business_year_id;president_id;deputy_id;census_taker_id;storage_id
1;2023-01-08;INCOMPLETE;2023-01-08;false;1;1;1;1;1
2;2023-01-08;INCOMPLETE;2023-01-08;false;2;2;2;2;2
3;2023-01-08;INCOMPLETE;2023-01-08;true;3;2;1;2;3
4;2023-01-08;ACCOUNTED;2023-01-08;true;4;2;1;1;4
5;2023-01-08;INCOMPLETE;2023-01-08;false;5;2;2;1;5
6;2023-01-08;INCOMPLETE;2023-01-08;false;6;2;1;2;6
7;2023-01-08;ACCOUNTED;2023-01-07;true;7;2;1;2;7
8;2023-01-08;ACCOUNTED;2023-01-08;false;8;2;2;1;8
9;2023-01-08;INCOMPLETE;2023-01-08;false;9;1;1;1;9
10;2023-01-08;INCOMPLETE;2023-01-08;false;10;1;1;2;10
