id;name;tax_identification_number;identification_number;contact_info_id
1;Metal pixel;"8317408925";"60151697";1
2;Mauritius Moldovan compress;"7964320041";"54838731";2
3;neutral;"9879733867";"87647712";3
4;Officer fuchsia;"1209244055";"74625180";4
5;payment index;"4700973717";"82085633";5
6;Kids;"7296482092";"50388081";6
7;Sports;"9909995501";"89059940";7
8;moratorium navigating Keyboard;"5303039572";"11232167";8
9;transmit Ouguiya;"9842035487";"25634989";9
10;emulation Senegal eyeballs;"2288350317";"88462936";10
