id;starting_amount;received_amount;dispatched_amount;total_amount;starting_value;received_value;dispatched_value;total_value;price;business_year_id;resource_id;storage_id
6d3bf225-be5b-4f06-be0b-31df8a0c26a9;60596;42325;23409;33323;8576;80070;81284;76859;7986;1;1;1
46a89e80-33af-4efa-923a-0e258e6bdd3f;66023;99895;16788;48539;19603;30999;20906;39795;48528;2;2;2
f6cc8b73-9fe4-4e10-af46-ed442ba4641d;81332;11319;52505;94127;34632;57385;42902;22759;94299;3;3;3
dd723ecc-f82c-414a-8963-487d6b2bf999;53878;72125;36093;27490;99270;94983;25329;70692;11148;4;4;4
7b4431c1-cf0f-497a-9643-3a1dfe056dad;73398;90750;57810;51008;50960;74521;39554;2251;7466;5;5;5
12ca2969-b2c5-4ca7-9b89-c11fbbf25255;15366;79674;29878;37744;96773;47344;84404;36791;4515;6;6;6
5170b388-d1a6-4ce7-8228-c3e30790174e;67102;92230;46256;70794;12068;98382;25686;87915;93548;7;7;7
c050a9a0-1c82-477b-a2df-c4533c1de001;85617;81159;8467;53136;6317;61762;7465;82782;72578;8;8;8
8e3ba8c2-a3dc-4e6d-982c-be577400ade4;861;73922;41859;36744;41772;32341;98776;71647;47082;9;9;9
8bb9ca2e-79fd-47b4-b741-1c535c5de92d;47173;23188;86834;4752;28574;99578;58912;27825;54938;10;10;10
