id;type;direction;amount;price;traffic_value;document;date;storage_card_id
1;LEVELING;IN;42311;19053;13850;Toys Estonia;2023-01-07;6d3bf225-be5b-4f06-be0b-31df8a0c26a9
2;TRANSFER;OUT;86610;74201;47816;Human;2023-01-07;46a89e80-33af-4efa-923a-0e258e6bdd3f
3;STARTING_BALANCE;IN;11684;36018;21531;Licensed efficient program;2023-01-08;f6cc8b73-9fe4-4e10-af46-ed442ba4641d
4;CORRECTION;OUT;23269;81331;75916;Courts;2023-01-08;dd723ecc-f82c-414a-8963-487d6b2bf999
5;REVERSAL;OUT;30313;10222;46955;programming bandwidth;2023-01-08;7b4431c1-cf0f-497a-9643-3a1dfe056dad
6;REVERSAL;OUT;61010;29168;85725;Orchestrator Data;2023-01-08;12ca2969-b2c5-4ca7-9b89-c11fbbf25255
7;STARTING_BALANCE;OUT;39570;53575;499;South;2023-01-08;5170b388-d1a6-4ce7-8228-c3e30790174e
8;TRANSFER;OUT;98386;95474;27413;Tasty Cuban;2023-01-08;c050a9a0-1c82-477b-a2df-c4533c1de001
9;CORRECTION;OUT;55771;52126;52031;Avon payment;2023-01-08;8e3ba8c2-a3dc-4e6d-982c-be577400ade4
10;LEVELING;IN;92419;29652;20862;bandwidth drive;2023-01-08;8bb9ca2e-79fd-47b4-b741-1c535c5de92d
