id;type;transfer_date;status;accounting_date;reversal_date;business_year_id
1;INTERSTORAGE;2023-01-08;REVERSED;2023-01-07;2023-01-08;1
2;RECEIVING;2023-01-07;ACCOUNTED;2023-01-08;2023-01-08;2
3;RECEIVING;2023-01-08;ACCOUNTED;2023-01-08;2023-01-08;3
4;INTERSTORAGE;2023-01-07;REVERSED;2023-01-07;2023-01-08;4
5;DISPATCHING;2023-01-08;REVERSED;2023-01-08;2023-01-07;5
6;DISPATCHING;2023-01-08;IN_PREPARATION;2023-01-08;2023-01-08;6
7;INTERSTORAGE;2023-01-08;ACCOUNTED;2023-01-08;2023-01-08;7
8;DISPATCHING;2023-01-08;ACCOUNTED;2023-01-07;2023-01-08;8
9;DISPATCHING;2023-01-08;REVERSED;2023-01-08;2023-01-08;9
10;INTERSTORAGE;2023-01-08;IN_PREPARATION;2023-01-07;2023-01-08;10
